
Taiba,0,0,0
Amna,0,0,0
Taiba,0,0,0
Fatima,0,0,0
,45,0,0
taiba,0,0,0
aymen,0,0,0
taiba,0,0,0
taiba,0,0,0
f,0,0,0
gh,0,0,0
f,0,0,0
,0,0,0
fds,0,0,0
ss,0,0,0
sss,0,0,0
ff,0,0,0
aa,0,0,0
dd,0,0,0
gg,0,0,0
,0,0,0
,0,0,0
taif,0,0,0
f,0,0,0
r,0,0,0
d,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
tsj,0,0,0
h,0,0,0
h,0,0,0
sd,0,0,0
,90,0,0
g,0,0,0
,0,0,0
,0,0,0
,0,0,0
ff,0,0,0
,10,0,0
h,0,0,0
,55,0,0
fdfd,0,0,0
,55,0,0
,0,0,0
ddd,0,0,0
,70,0,0
,0,0,0
d,0,0,0
ss,0,0,0
ddd,0,0,0
,0,0,0
aaaa,0,0,0
ys,0,0,0
hs,0,0,0
gfg,0,0,0
,25,0,0
dd,0,0,0
ss,0,0,0
,0,0,0
,0,0,0
,80,0,0
aa,0,0,0
aa,0,0,0
aa,0,0,0
a,0,0,0
gg,0,0,0
,0,0,0
,0,0,0
,30,0,0
jjd,0,0,0
,80,0,0
wa,0,0,0
,85,0,0
gy,0,0,0
,0,0,0
sr,0,0,0
taiba,0,0,0
,70,0,0
tub,0,0,0
taiba,0,0,0
ydbd,0,0,0
e,0,0,0
fr,0,0,0
,0,0,0
,0,0,0
,0,0,0
,0,0,0
h,0,0,0
hello,0,0,0
d,0,0,0
js,0,0,0
helo,0,0,0
,0,0,0
taiba,0,0,0
,165,0,0
taiba,0,0,0
,0,0,0
,0,0,0
,0,0,0
dd,0,0,0
,0,0,0
ss,0,0,0
aa,0,0,0
aaa,0,0,0
,60,0,0
ggg,0,0,0
aa,0,0,0
aaa,0,0,0
s,0,0,0
,0,0,0
,0,0,0
ss,0,0,0
aaa,0,0,0
ss,0,0,0
aaa,0,0,0
aa,0,0,0
aa,0,0,0
ss,0,0,0
ayman,0,0,0
jj,0,0,0
hh,0,0,0
kk,0,0,0
kk,0,0,0
,105,0,0
h,0,0,0
